Year,Month,State,Data Status,R_rev,R_sales,R_cust,R_price,C_rev,C_sales,C_cust,C_price,I_rev,I_sales,I_cust,I_price,T_rev,T_sales,T_cust,T_price,O_rev,O_sales,O_cust,O_price,TOTAL_rev,TOTAL_sales,TOTAL_cust,TOTAL_price
2022,6,MO,Preliminary,467154.48,3320330.1,2853554,14.07,296939.96,2666187.1,397226,11.14,109294.01,1176466.4,9817,9.29,159.78,1817.44,2,8.79,.,.,.,.,873548.24,7164801.1,3260599,12.19
2022,6,MS,Preliminary,237138.72,1875623.9,1342721,12.64,158992,1335248.3,242930,11.91,98616.36,1400887.8,11547,7.04,0,0,0,0,.,.,.,.,494747.08,4611760,1597198,10.73
2022,6,MT,Preliminary,42462.54,365781.46,539256,11.61,41221.44,393044.72,114516,10.49,21801.59,401213.07,13382,5.43,0,0,0,0,.,.,.,.,105485.56,1160039.3,667154,9.09
2022,6,NC,Preliminary,682583.19,5770234.2,4860105,11.83,389708.6,4454280.7,742197,8.75,165920.37,2398058.4,9429,6.92,103.46,1451.48,1,7.13,.,.,.,.,1238315.6,12624025,5611732,9.81
2022,6,ND,Preliminary,42350.59,322970.39,393194,13.11,58263.83,575472.98,77516,10.12,71685.12,1040435.9,9079,6.89,0,0,0,0,.,.,.,.,172299.53,1938879.3,479789,8.89
2022,6,NE,Preliminary,103173.74,889549.86,884379,11.6,75793.9,815740.28,160511,9.29,90705.53,1166741.9,64835,7.77,0,0,0,0,.,.,.,.,269673.18,2872032,1109725,9.39
2022,6,NH,Preliminary,82941.8,365047.78,643219,22.72,59375.31,342197.07,111228,17.35,23653.74,163154.86,3173,14.5,0,0,0,0,.,.,.,.,165970.84,870399.71,757620,19.07
2022,6,NJ,Preliminary,480058.46,2780116.9,3727147,17.27,459867.21,3128580.9,535075,14.7,75949.9,584685.48,11527,12.99,2693.29,20904.47,6,12.88,.,.,.,.,1018568.9,6514287.8,4273755,15.64
2022,6,NM,Preliminary,101355.43,716589.45,908859,14.14,93627.78,813758.71,146254,11.51,62410.99,962907.33,9454,6.48,0,0,0,0,.,.,.,.,257394.21,2493255.5,1064567,10.32
2022,6,NV,Preliminary,208508.01,1582179.7,1274535,13.18,115908.36,1248811.1,173907,9.28,100655.23,1116332.3,3480,9.02,64.44,697.48,1,9.24,.,.,.,.,425136.04,3948020.6,1451923,10.77
2022,6,NY,Preliminary,956079.1,4272048.2,7345940,22.38,1157067.1,5951003.3,1166746,19.44,108126.82,1412713.1,7321,7.65,29648.56,204555.98,8,14.49,.,.,.,.,2250921.5,11840321,8520015,19.01
2022,6,OH,Preliminary,672573.2,4692629.2,5091006,14.33,433559.31,3951590.5,635254,10.97,367047.93,4501608.7,19703,8.15,325.98,2673.07,2,12.2,.,.,.,.,1473506.4,13148501,5745965,11.21
2022,6,OK,Preliminary,328060.2,2493600.7,1846238,13.16,225277.67,2009883.9,299252,11.21,148610.16,1952807.1,19431,7.61,0,0,0,0,.,.,.,.,701948.03,6456291.6,2164921,10.87
2022,6,OR,Preliminary,159853.22,1355408.9,1829401,11.79,121882.25,1316268.8,248297,9.26,82607.03,1352759.5,25605,6.11,195.82,1864.5,2,10.5,.,.,.,.,364538.31,4026301.7,2103305,9.05
2022,6,PA,Preliminary,723402.99,4381088.6,5493156,16.51,337891.83,3057700.8,727945,11.05,376239.01,4412374.9,15755,8.53,2122.6,25606.34,5,8.29,.,.,.,.,1439656.4,11876771,6236861,12.12
2022,6,RI,Preliminary,45772.92,193702.79,438440,23.63,45130.43,285038.67,58973,15.83,8849.02,50828.72,1594,17.41,348.3,1883.71,1,18.49,.,.,.,.,100100.67,531453.89,499008,18.84
2022,6,SC,Preliminary,452547.78,3184773.3,2474941,14.21,242751.04,2084248.9,405885,11.65,187690.3,2444034.7,3631,7.68,0,0,0,0,.,.,.,.,882989.12,7713057,2884457,11.45
2022,6,SD,Preliminary,49562.71,372307.83,419961,13.31,43921.21,404438.34,76309,10.86,22660.31,270385.75,4236,8.38,0,0,0,0,.,.,.,.,116144.23,1047131.9,500506,11.09
2022,6,TN,Preliminary,464952.61,3765469.4,3016839,12.35,390149.19,3209019.4,518952,12.16,142833.61,2013081.8,1021,7.1,0,0,0,0,.,.,.,.,997935.41,8987570.6,3536812,11.1
2022,6,TX,Preliminary,2310666.1,17373036,11902940,13.3,1311338.9,13453563,1555898,9.75,872196.53,11592456,326330,7.52,1036.91,14969,3,6.93,.,.,.,.,4495238.5,42434024,13785171,10.59
2022,6,UT,Preliminary,113171.03,1006913.5,1175710,11.24,97796.33,1103426,138329,8.86,53131.55,790563.92,11053,6.72,488.09,3809.51,1,12.81,.,.,.,.,264587,2904712.9,1325093,9.11
2022,6,VA,Preliminary,526978.2,3893785.4,3592866,13.53,481925.37,5094690.6,445480,9.46,128718.17,1616656.2,3714,7.96,1422.22,13165.18,1,10.8,.,.,.,.,1139044,10618297,4042061,10.73
2022,6,VT,Preliminary,32308.97,157821.81,320588,20.47,27146.11,157099.62,60993,17.28,14152.03,115104.61,245,12.29,0,0,0,0,.,.,.,.,73607.1,430026.04,381826,17.12
2022,6,WA,Preliminary,267126.81,2546946.8,3264699,10.49,215803.02,2271363.8,402712,9.5,101569.24,1818013.6,27127,5.59,1056.48,10579.94,5,9.99,.,.,.,.,585555.55,6646904.2,3694543,8.81
2022,6,WI,Preliminary,314454.63,1947433.3,2786894,16.15,251363.44,2018415.9,364415,12.45,184435.22,1984016.4,5599,9.3,15.44,87.29,2,17.69,.,.,.,.,750268.73,5949952.9,3156910,12.61
2022,6,WV,Preliminary,111853.15,813024.92,862478,13.76,64816.6,621816.68,149622,10.42,85402.81,1189893.6,11211,7.18,0,0,0,0,.,.,.,.,262072.56,2624735.2,1023311,9.98
2022,6,WY,Preliminary,23583.94,200748.1,281714,11.75,29942.07,290222.66,58787,10.32,53104.1,787161.35,11809,6.75,0,0,0,0,.,.,.,.,106630.1,1278132.1,352310,8.34
2022,5,AK,Preliminary,35968.42,149658.22,295508,24.03,41643.07,202008.05,56974,20.61,22925.76,116159.45,1155,19.74,0,0,0,0,.,.,.,.,100537.25,467825.73,353637,21.49
2022,5,AL,Preliminary,361004.25,2527886.2,2331408,14.28,250902.35,1916100.4,379060,13.09,213133.56,2773516,7960,7.68,0,0,0,0,.,.,.,.,825040.16,7217502.7,2718428,11.43
2022,5,AR,Preliminary,152970.23,1255254.8,1443772,12.19,96414.87,924570.59,203932,10.43,115748.48,1570762.3,31924,7.37,2.08,13.64,2,15.25,.,.,.,.,365135.67,3750601.3,1679630,9.74
2022,5,AZ,Preliminary,429138.35,3247991,2971966,13.21,294431.62,2680080.2,334999,10.99,92652.63,1202712.9,7256,7.7,75.41,734.07,2,10.27,.,.,.,.,816298.01,7131518.1,3314223,11.45
2022,5,CA,Preliminary,1581230.7,5852798.3,12849402,27.02,1726190.3,8735512.5,1763559,19.76,628479.41,3846150.8,148858,16.34,5518.93,51716.94,12,10.67,.,.,.,.,3941419.3,18486178,14761831,21.32
2022,5,CO,Preliminary,204733.98,1481538.6,2423776,13.82,184800.16,1657873.8,390549,11.15,104685.53,1246090.9,14765,8.4,651.82,7366.98,1,8.85,.,.,.,.,494871.49,4392870.3,2829091,11.27
2022,5,CT,Preliminary,229045.43,923262.09,1538211,24.81,168422.75,938672.5,155921,17.94,34931.15,244245.05,3986,14.3,1720.13,12611.24,3,13.64,.,.,.,.,434119.46,2118790.9,1698121,20.49
2022,5,DC,Preliminary,25229.51,170955.5,305926,14.76,91842.63,597841.91,27114,15.36,1135.69,15952.36,1,7.12,1821.44,17367.4,3,10.49,.,.,.,.,120029.28,802117.16,333044,14.96
2022,5,DE,Preliminary,48511.02,339316.79,455995,14.3,37146.37,345313.29,58945,10.76,13271.57,158208.95,818,8.39,0,0,0,0,.,.,.,.,98928.96,842839.03,515758,11.74
2022,5,FL,Preliminary,1585124,11675428,10431730,13.58,965805.68,8819932.8,1334782,10.95,160321.3,1747288.8,25254,9.18,685.35,7003.29,2,9.79,.,.,.,.,2711936.4,22249653,11791768,12.19
2022,5,GA,Preliminary,690392.45,4795834.5,4628366,14.4,512094.2,4027289.4,603876,12.72,264607.85,2922979,24575,9.05,1087.51,11766.27,1,9.24,.,.,.,.,1468182,11757869,5256818,12.49
2022,5,HI,Preliminary,98026.31,227411.38,449235,43.11,95634.03,236779.84,60095,40.39,104025.76,287343.34,822,36.2,0,0,0,0,.,.,.,.,297686.1,751534.55,510152,39.61
2022,5,IA,Preliminary,149521.52,1061972.9,1434486,14.08,106196.67,968554.56,248370,10.96,161249.48,2304635.3,8553,7,0,0,0,0,.,.,.,.,416967.67,4335162.8,1691409,9.62
2022,5,ID,Preliminary,64707.01,628846.42,821151,10.29,41001.43,511174.03,118984,8.02,53270.71,862096.92,29237,6.18,0,0,0,0,.,.,.,.,158979.15,2002117.4,969372,7.94
2022,5,IL,Preliminary,545331.19,3572719.3,5361739,15.26,452809.9,3767937,635341,12.02,317113.84,3391557.3,5618,9.35,2525.69,35257.75,3,7.16,.,.,.,.,1317780.6,10767471,6002701,12.24
2022,5,IN,Preliminary,360427.89,2376875.2,2945682,15.16,239439.04,1855676.1,372670,12.9,323452.6,3727324,19038,8.68,120.24,906.5,1,13.26,.,.,.,.,923439.77,7960781.8,3337391,11.6
2022,5,KS,Preliminary,149369.6,1057670.5,1311277,14.12,146689.34,1285731,247356,11.41,81565.24,998108.3,24823,8.17,0,0,0,0,.,.,.,.,377624.18,3341509.8,1583456,11.3
2022,5,KY,Preliminary,239284.29,1868377.3,2013576,12.81,178648.56,1503997.5,319796,11.88,197807.87,2620753.8,5909,7.55,0,0,0,0,.,.,.,.,615740.72,5993128.6,2339281,10.27
2022,5,LA,Preliminary,289227.39,2415334.9,2141389,11.97,208942.01,1941953.6,300454,10.76,224465.55,3476351.4,20511,6.46,103.71,878.6,1,11.8,.,.,.,.,722738.66,7834518.5,2462355,9.23
2022,5,MA,Preliminary,337957.58,1416726,2870621,23.85,322524.59,1882566.3,437318,17.13,93248.51,545005.59,10698,17.11,1796.27,24593.15,2,7.3,.,.,.,.,755526.95,3868891.1,3318639,19.53
2022,5,MD,Preliminary,266296.58,1873741.6,2428684,14.21,267654.78,2264428.2,260432,11.82,30578.85,309841.27,9002,9.87,2446.44,29470.39,5,8.3,.,.,.,.,566976.66,4477481.4,2698123,12.66
2022,5,ME,Preliminary,90898.79,352941.97,740960,25.75,53421.25,316559.42,108711,16.88,21542.74,169352.85,2231,12.72,0,0,0,0,.,.,.,.,165862.77,838854.24,851902,19.77
2022,5,MI,Preliminary,461362.33,2587636.2,4480966,17.83,378889.6,2999213.7,554977,12.63,204299.03,2342465.1,5749,8.72,38.33,301.33,2,12.72,.,.,.,.,1044589.3,7929616.3,5041694,13.17
2022,5,MN,Preliminary,240102.63,1661847.1,2529511,14.45,217276.48,1785929.5,307279,12.17,154535.39,1678697.3,9256,9.21,181.17,1558.69,1,11.62,.,.,.,.,612095.67,5128032.5,2846047,11.94
2022,5,MO,Preliminary,299189.23,2504255.9,2845999,11.95,215575.69,2354866.6,397456,9.15,89553.94,1172757.2,9834,7.64,134.02,1831.46,2,7.32,.,.,.,.,604452.88,6033711.2,3253291,10.02
2022,5,MS,Preliminary,179924.92,1372134,1339921,13.11,138411.57,1136668.3,242022,12.18,96036.04,1405681.5,11293,6.83,0,0,0,0,.,.,.,.,414372.53,3914483.9,1593236,10.59
